,Question,Sentence
12,"how big is bmc software in houston, tx","Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs."
13,"how big is bmc software in houston, tx","For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year."
15,how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS)."
23,how did armando christian perez become famous,"Armando PÃ©rez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer."
91,what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species ."
154,how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people."
220,how many xbox 360 games are there,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013."
249,how many planets is jupiter away from the sun?,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .
304,what happened on the moon during the period of Late Heavy Bombardment?,"During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well."
326,what does the federal reserve do,"Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions."
395,how many nature oceans are on earth,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean â they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans."
449,what does a plus-minus sign mean,"to indicate the precision of an approximation , or"
450,what does a plus-minus sign mean,to indicate a value that can be of either sign.
456,what does judgment as a matter of law mean,"Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case."
511,what county is Holly Ridge nc in?,"Holly Ridge is a town in Onslow County , North Carolina , United States ."
514,what forms seasons,"A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight ."
515,what forms seasons,Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.
519,what forms seasons,It is the tilt of the Earth that causes the Sun to be higher in the sky during the summer months which increases the solar flux .
543,what kind of literature did john steinbeck writing,"As the author of twenty-seven books, including sixteen novels, six non-fiction books, and five collections of short stories, Steinbeck received the Nobel Prize for Literature in 1962."
544,whatever happened clint walker,"Norman Eugene Walker, known as Clint Walker (born May 30, 1927), is a retired American actor ."
661,what channel is shopnbc on,"ShopNBC is an American broadcast and cable home shopping network, owned and operated by ValueVision Media , which is in turn 30% owned by GE Equity and NBC Universal ."
665,how post and lintels are used,"Post and lintel, ""prop and lintel"" or ""trabeated"" is a simple construction method using a lintel , header, or architrave as the horizontal member over a building void supported at its ends by two vertical columns , , or ."
714,what hormones produce thyroid,"The thyroid hormones, triiodothyronine (T3) and thyroxine (T4), are tyrosine -based hormones produced by the thyroid gland that are primarily responsible for regulation of metabolism."
771,how did James Dean die?,His premature death in a car crash cemented his legendary status.
821,How Works Diaphragm Pump,"A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid ."
900,"What happened to ""The Glades"" tv series",The show has been renewed for a fourth season.
923,what kind of company is Microsoft?,"Microsoft Corporation is an American multinational software corporation headquartered in Redmond , Washington that develops, manufactures, licenses, and supports a wide range of products and services related to computing ."
946,what area code is 949,Area code 949 is an area code in California that is contained mostly within South Orange County .
981,who sings the song never ending story,The English version was performed by Limahl and Beth Anderson ; the French version was performed by Limahl and Ann Calvert.
990,what are risk for infections,"Risk of infection is a nursing diagnosis which is defined as ""the state in which an individual is at risk to be invaded by an opportunistic or pathogenic agent ( virus , fungus , bacteria , protozoa , or other parasite ) from endogenous or exogenous sources"" and was approved by NANDA in 1986."
994,who discovered neptune the planet,"With a prediction by Urbain Le Verrier , telescopic observations confirming the existence of a major planet were made on the night of September 23â24, 1846, at the Berlin Observatory , by astronomer Johann Gottfried Galle (assisted by Heinrich Louis d'Arrest ), working from Le Verrier's calculations."
1004,what separates me from you album,What Separates Me from You is the fourth studio album by American metalcore / pop punk band A Day to Remember .
1015,when did freddie mercury die,"Freddie Mercury (born Farrokh Bulsara; Gujarati : àª«àª°à«àª àª¬àª²à«àª¸àª¾àª°àª¾â, PharÅkh BalsÄrÄâ); 5 September 1946 â 24 November 1991) was a British musician, singer and songwriter, best known as the lead vocalist and lyricist of the rock band Queen ."
1042,what tensions preceded the berlin blockade,"Their aim was to force the western powers to allow the Soviet zone to start supplying Berlin with food and fuel, thereby giving the Soviets practical control over the entire city."
1050,who sang proud mary,"Proud Mary is a rock song written by American singer-songwriter and multi-instrumentalist John Fogerty , and recorded by his band Creedence Clearwater Revival ."
1055,what percentage of the human body is water,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight."
1104,what part of the pre-world war 1 arms race was the most intense?,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war."
1126,what are the three primary colors in the subtractive color model,"The overlapping subtractive yellow, cyan and red (magenta) image elements can clearly be seen."
1136,what is 6 pin din connector,The mini-DIN connectors are a family of multi-pin electrical connectors used in a variety of applications.
1142,what are the uses for gui,"GUIs can be used in computers , hand-held devices such as MP3 players, portable media players or gaming devices, household appliances, office, and industry equipment."
1149,what are banana plugs for,"A banana connector (commonly banana plug for the male , banana socket or banana jack for the female ) is a single- wire (one conductor ) electrical connector used for joining wires to equipment ."
1167,when did the trojan war take place,"The ancient Greeks thought that the Trojan War was a historical event that had taken place in the 13th or 12th century BC, and believed that Troy was located in modern-day Turkey near the Dardanelles ."
1202,when did the free soilers party start?,"The Free Soil Party was a short-lived political party in the United States active in the 1848 and 1852 presidential elections, and in some state elections."
1209,when did steven adler play for guns and roses,"He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses , with whom he achieved worldwide success in the late 1980s."
1213,who sings stand by me,"Stand by Me is a song originally performed by Ben E. King and written by King, Jerry Leiber , and Mike Stoller , inspired by the spiritual ""Lord Stand by Me,"" plus two lines rooted in Psalms 46:2â3."
1224,what year was elvis born,"Elvis Aaron Presley (January 8, 1935 â August 16, 1977) was an American singer and actor."
1247,what are the arb medications,"Angiotensin receptor blocker (antagonist), a medication for treating high blood pressure"
1296,what the atmosphere on mercury,"Mercury has a very tenuous and highly variable atmosphere (surface-bound exosphere ) containing hydrogen , helium , oxygen , sodium , calcium , potassium and water vapor , with a combined pressure level of about 10â14 bar (1 nPa )."
1303,what religion is westminster abbey,"The Collegiate Church of St Peter at Westminster, popularly known as Westminster Abbey, is a large, mainly Gothic church, in the City of Westminster , London , located just to the west of the Palace of Westminster ."
1314,what are stanzas in poetry,"In poetry, a stanza is a unit within a larger poem."
1316,what are stanzas in poetry,"A stanza consists of a grouping of two or more lines , set off by a space, that usually has a set pattern of meter and rhyme.The stanza in poetry is analogous with the paragraph that is seen in prose , related thoughts are grouped into units."
1320,who won the super in xl1,The Colts defeated the Bears by the score of 29â17.
1395,who won the 2010 world cup,"In the final, Spain , the European champions , defeated third-time finalists the Netherlands 1â0 after extra time , with AndrÃ©s Iniesta 's goal in the 116th minute giving Spain their first world title, becoming the eighth nation to win the tournament, and the first European nation to win the tournament outside its home continent."
1400,what part of the plant are avocados,Avocado or alligator pear also refers to the fruit ( botanically a large berry that contains a single seed) of the tree.
1448,who starred in the original true grit,John Wayne stars as U.S. Marshal Rooster Cogburn and won his only Academy Award for his performance in this film.
1461,what motor does a 2001 monte carlo,"The Monte Carlo SS was revived from 2000 to 2007 and initially powered by 3.8-liter V6 (supercharged in 2004â2005), later to be replaced by a 5.3-liter V8 for 2006â2007."
1462,where scottsdale?,"Scottsdale ( O'odham Vaá¹£ai S-vaá¹£onÄ­; Yaqui Eskatel) is a city in the eastern part of Maricopa County, Arizona , United States , adjacent to Phoenix ."
1480,what are the most known sports in america,"Four of the nation's five most popular team sports were developed in North America: American football , baseball , basketball and ice hockey , whereas soccer was developed in England."
1481,what are the most known sports in america,"The four Major leagues in the United States are the National Basketball Association (NBA), National Football League (NFL), Major League Baseball (MLB), the National Hockey League (NHL); all enjoy massive media exposure and are considered the preeminent competitions in their respective sports in the world."
1491,"what is an ""N.M?","A newton metre is a unit of torque (also called "" moment "") in the SI system."
1505,what year did john adams become  president?,"John Adams (October 30, 1735 ( O.S. October 19, 1735) â July 4, 1826) was the second president of the United States (1797â1801), having earlier served as the first vice president of the United States ."
1556,what is am 2201,AM-2201 (1-(5-fluoropentyl)-3-(1-naphthoyl)indole) is a research chemical that acts as a potent but nonselective full agonist for the cannabinoid receptor .
1567,when did george washington died?,"George Washington ( â , 1799) was the first President of the United States (1789â1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States ."
1590,when did george washington died?,"He retired from the presidency in 1797 and returned to his home, Mount Vernon , and his domestic life where he managed a variety of enterprises."
1598,what is a wiki platform,"A wiki ( ) is a website which allows its users to add, modify, or delete its content via a web browser usually using a simplified markup language or a rich-text editor ."
1613,who plays dumbledore in harry potter 6,"After Harris' death, Michael Gambon portrayed Dumbledore for all of the remaining films."
